Timestamp;ClientName;AccountName;Instrument;Quantity;Price
15:47:01.150424;XYZ;XYZ_wealth;005930.KS;461;77369.09
15:24:04.180645;GHI;GHI_invest;TENAGA.KL;1620;9.49
15:49:49.230657;YZZ;YZZ_asset;000001.SZ;5426;12.81
10:19:24.866598;ABC;ABC_invest;051910.KS;275;468481.68
14:30:42.776161;JKL;JKL_wealth;601318.SS;2316;46.79
11:49:43.238489;MNO;MNO_group;9984.TO;12;6733.67
14:46:02.200750;PQR;PQR_account;000858.SZ;4095;186.91
16:16:17.490083;YZZ;YZZ_wealth;AIRTEL.NS;4182;881.67
11:56:11.523184;YZZ;YZZ_trading;CBA.AX;12744;88.29
16:21:30.420931;MNO;MNO_trading;MAYBANK.KL;5515;8.78
13:28:41.123906;DEF;DEF_asset;601318.SS;15624;46.53
16:11:39.875083;MNO;MNO_asset;CSL.AX;1996;265.31
15:24:18.245415;ABC;ABC_wealth;BHP.AX;10551;47.09
09:03:29.127625;MNO;MNO_group;002415.SZ;3397;35.82
11:58:16.081068;VWX;VWX_account;CSL.AX;3745;266.93
12:50:34.845311;XYZ;XYZ_invest;600519.SS;428;1644.12
16:02:07.802953;ABC;ABC_wealth;TENAGA.KL;13169;9.36
16:10:42.136973;PQR;PQR_fund;000660.KS;280;127041.37
09:53:11.705695;ABC;ABC_wealth;CBA.AX;8326;87.4
16:22:56.299157;DEF;DEF_trading;000001.SZ;16438;12.82
16:15:07.199700;JKL;JKL_invest;2454.TW;4174;735.69
09:44:17.072386;VWX;VWX_group;TENAGA.KL;1903;9.47
10:01:06.513775;STU;STU_asset;7203.T;401;2543.91
11:12:08.743356;PQR;PQR_trading;2330.TW;4239;587.77
13:56:56.213861;MNO;MNO_group;6758.T;365;12164.43
